path,area,evidence,currentReachability,packageStatus,recommendation,nextAction
.DS_Store,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/db.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/local_request_guard.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/main.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/models.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/__pycache__/department_catalog.cpython-310.pyc,product,department catalog hardcoded era,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/__pycache__/department_catalog.cpython-311.pyc,product,department catalog hardcoded era,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/__pycache__/department_catalog.cpython-312.pyc,product,department catalog hardcoded era,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/__pycache__/experience_story_engine.cpython-311.pyc,product,experience story old engine,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/__pycache__/experience_story_engine.cpython-312.pyc,product,experience story old engine,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/__pycache__/review_simulation.cpython-310.pyc,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/__pycache__/review_simulation.cpython-311.pyc,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/__pycache__/review_simulation.cpython-312.pyc,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/agent_worklogs.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/ai.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/analysis_center.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/analysis_context.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/badge_engine.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/client_profile.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/data_center_access.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/data_center_artifacts.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/data_center_ingest.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/data_center_kernel.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/data_center_operational_status.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/diagnosis_engines.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/digital_asset_center.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/embedding_provider.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/event_line_timeline.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/evidence_quality_feedback.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/execution_retry_metrics.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/feishu_sync.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/feishu.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/generation_runtime_policy.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/growth_engine.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/kernel_primary_rollout.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/knowledge_base.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/knowledge_v2.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/local_memory.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/local_semantic_router.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/meeting_context.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/memory_foundation.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/organization_dna_v2.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/retrieval_model_settings.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/review_analysis.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/review_narrative.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/review_rollup.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/review_simulation.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/self_heal.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/system_logger.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/task_context_brief_engine.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/template_fill.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/topic_data_center.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/understanding_builder.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/weekly_review_material_pack.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/workspace_answer_value_diagnostics.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/workspace_chat_diagnostics.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/workspace_context_refresh.py,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/workspace_data_center_adapter.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/app/services/workspace_thread_memory.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/output/org-dna-heavy-chain-test/03_methodology_draft.md,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/output/org-dna-heavy-chain-test/03_methodology_refined.md,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/output/org-dna-heavy-chain-test/04_client_scenes_draft.md,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/output/org-dna-heavy-chain-test/04_client_scenes_refined.md,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/output/org-dna-heavy-chain-test/07_merged_candidate.md,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/output/org-dna-heavy-chain-test/candidate-heavy-doubao.md,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/output/org-dna-heavy-chain-test/candidate-modules-unmerged.md,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/output/rici-dna-evidence-confirm-test/02_evidence_driven_dna_candidate.md,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/output/rici-dna-evidence-confirm-test/baseline-current-client-dna.md,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/output/rici-dna-evidence-confirm-v2-test/baseline-current-client-dna.md,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/output/rici-dna-tool-ab-test/current_app_injection_2200__task_next_actions__A_current_backend_dna.md,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/scripts/__pycache__/probe_diagnosis_engines.cpython-312.pyc,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/scripts/bettafish_bridge.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/scripts/probe_diagnosis_engines.py,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/tests/__pycache__/test_api_smoke.cpython-311-pytest-9.0.2.pyc,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/tests/__pycache__/test_api_smoke.cpython-311-pytest-9.0.3.pyc,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/tests/__pycache__/test_api_smoke.cpython-311.pyc,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/tests/__pycache__/test_api_smoke.cpython-312.pyc,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/tests/__pycache__/test_experience_story_engine.cpython-311-pytest-9.0.2.pyc,product,experience story old engine,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/tests/__pycache__/test_frontend_no_legacy_retry_banner_p28.cpython-311-pytest-9.0.2.pyc,product,legacy/deprecated/old,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/tests/__pycache__/test_generation_runtime_policy_cooldown_expired_probe_p21.cpython-311-pytest-9.0.2.pyc,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
backend/tests/__pycache__/test_review_simulation.cpython-311-pytest-9.0.2.pyc,product,simulation/mock/probe/debug,not determined,source/docs,needs_product_review,ask product owner to confirm keep/remove
